Reference Number,Number of Vehicles,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
4837,2BG1050,1,1520,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,5,Car
4838,2BG1050,1,1520,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,33,Car
4839,2BG1141,1,1636,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,39,Car
4840,2BG1160,2,1645,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,22,Car
4841,2BG1160,2,1645,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,19,Goods vehicle 3.5 tonnes mgw and under
4842,2BH0300,2,1750,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Male,44,Pedal cycle
4843,2BH0484,3,1044,A,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver/Rider,Slight,Male,31,Goods vehicle 3.5 tonnes mgw and under
4844,2BH0810,1,1745,B,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,31,Bus or coach (17 or more passenger seats)
4845,2BH1229,1,1754,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Pedestrian,Slight,Female,3,Car
4846,2BH1229,1,1754,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Pedestrian,Slight,Female,4,Car
4847,2BH1389,2,1910,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,27,Car
4848,2BH1389,2,1910,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,30,Car
4849,2BH1707,1,2230,Motorway,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Male,32,Car
4850,2BI0170,1,640,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,23,Car
4851,2BI0187,2,715,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,23,Car
4852,2BI0187,2,715,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,45,Bus or coach (17 or more passenger seats)
4853,2BI0187,2,715,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,53,Bus or coach (17 or more passenger seats)
4854,2BI0187,2,715,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,36,Bus or coach (17 or more passenger seats)
4855,2BI0187,2,715,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,43,Bus or coach (17 or more passenger seats)
4856,2BI0260,2,834,Unclassified,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver/Rider,Serious,Male,47,Pedal cycle
4857,2BI0836,2,1433,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,55,Car
4858,2BI0836,2,1433,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,26,Car
4859,2BI0875,1,1459,Unclassified,Wet / Damp,Daylight: street lights present,Raining with high winds,Pedestrian,Serious,Female,83,Car
4860,2BI1085,2,1615,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,17,Pedal cycle
4861,2BI1134,1,1717,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Pedestrian,Slight,Female,46,Car
4862,2BI1443,2,1945,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Female,24,Car
4863,2BI1494,2,1925,Motorway,Wet / Damp,Darkness: street lighting unknown,Raining with high winds,Driver/Rider,Slight,Female,38,Car
4864,2BI1508,1,1920,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Pedestrian,Slight,Female,30,Car
4865,2BI1536,1,2040,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Pedestrian,Slight,Male,14,Car
4866,2BI1595,3,2124,Motorway,Frost / Ice,Darkness: street lights present and lit,Other,Driver/Rider,Slight,Female,33,Car
4867,2BI1762,2,2125,Motorway,Frost / Ice,Darkness: street lights present and lit,Other,Passenger,Slight,Female,80,Car
4868,2BJ0203,2,715,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,27,Motorcycle over 50cc and up to 125cc
4869,2BJ0235,2,810,Unclassified,Dry,Daylight: street lights present,Fine with high winds,Driver/Rider,Slight,Male,39,Car
4870,2BJ0235,2,810,Unclassified,Dry,Daylight: street lights present,Fine with high winds,Passenger,Slight,Female,15,Car
4871,2BJ0235,2,810,Unclassified,Dry,Daylight: street lights present,Fine with high winds,Passenger,Slight,Female,12,Car
4872,2BJ0466,2,1056,B,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver/Rider,Slight,Female,70,Car
4873,2BJ0466,2,1056,B,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver/Rider,Slight,Male,30,Car
4874,2BJ1200,1,1750,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Female,9,Car
4875,2BJ1323,2,1915,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Male,44,Car
4876,2BJ1340,2,1920,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,19,Car
4877,2BK0205,2,638,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,35,M/cycle 50cc and under
4878,2BK0414,1,1005,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,42,Car
4879,2BK0930,3,1510,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,51,Car
4880,2BK0930,3,1510,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,46,Car
4881,2BK1188,2,1705,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Male,38,Car
4882,2BK1222,1,1724,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Male,21,Car
4883,2BL0890,1,1400,Motorway,Dry,Daylight: street lights present,Fine with high winds,Driver/Rider,Slight,Female,24,Car
4884,2BL0963,2,1510,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,36,Car
4885,2BL0963,2,1510,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,71,Car
4886,2BL0963,2,1510,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,66,Car
4887,2BL1032,1,1538,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,11,Car
4888,2BL1175,1,1650,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Female,14,Motorcycle over 50cc and up to 125cc
4889,2BL1175,1,1650,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,18,Motorcycle over 50cc and up to 125cc
4890,2BL1215,3,1710,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,11,Car
4891,2BL1480,3,2000,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,51,Car
4892,2BM0042,2,24,B,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,30,Car
4893,2BM0042,2,24,B,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,19,Car
4894,2BM0566,3,1100,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,18,Car
4895,2BM0768,2,1400,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,28,Car
4896,2BN0158,1,701,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,23,Car
4897,2BN1013,2,1620,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,33,Car
4898,2BN1013,2,1620,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,14,Car
4899,2BN1292,2,1828,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,55,Taxi/Private hire car
4900,2BN1303,1,1900,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Female,56,Car
4901,2BN1348,2,1920,B,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,27,Pedal cycle
4902,2BO0148,2,525,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Male,47,Pedal cycle
4903,2BO0180,2,648,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Male,24,Car
4904,2BO0258,3,839,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,53,Goods vehicle 3.5 tonnes mgw and under
4905,2BO0258,3,839,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,54,Goods vehicle 3.5 tonnes mgw and under
4906,2BO0324,2,930,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,24,Car
4907,2BO0396,2,1015,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,37,Car
4908,2BO0556,2,1158,B,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,36,Pedal cycle
4909,2BO0557,2,950,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,37,Bus or coach (17 or more passenger seats)
4910,2BO0557,2,950,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Male,20,Bus or coach (17 or more passenger seats)
4911,2BO0767,1,1305,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,32,Car
4912,2BO1148,2,1450,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,27,Car
4913,2BO1175,2,1747,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,61,Car
4914,2BO1175,2,1747,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,31,Car
4915,2BO1598,2,2211,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,19,Car
4916,2BP0231,3,745,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,27,Motorcycle over 500cc
4917,2BP0668,2,1238,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,37,Pedal cycle
4918,2BP1052,2,1602,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,61,Pedal cycle
4919,2BQ0098,2,220,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,23,Taxi/Private hire car
4920,2BQ0250,3,838,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,20,Car
4921,2BQ0250,3,838,B,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,39,Car
4922,2BQ0250,3,838,B,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,20,Bus or coach (17 or more passenger seats)
4923,2BQ0250,3,838,B,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,16,Bus or coach (17 or more passenger seats)
4924,2BQ0250,3,838,B,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,21,Bus or coach (17 or more passenger seats)
4925,2BQ0268,3,849,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,26,Car
4926,2BQ0270,2,900,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,23,Car
4927,2BQ0325,2,923,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,29,Bus or coach (17 or more passenger seats)
4928,2BQ0325,2,923,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,48,Bus or coach (17 or more passenger seats)
4929,2BQ0998,1,1600,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,19,Bus or coach (17 or more passenger seats)
4930,2BQ1051,3,1623,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,21,Pedal cycle
4931,2BQ1071,2,1633,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,23,Motorcycle over 500cc
4932,2BQ1122,3,1656,Motorway,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,32,Goods vehicle 3.5 tonnes mgw and under
4933,2BQ1122,3,1656,Motorway,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,45,Car
4934,2BQ1122,3,1656,Motorway,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,56,Car
4935,2BQ1184,2,1730,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,49,Goods vehicle 3.5 tonnes mgw and under
4936,2BQ1207,2,1739,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,20,Car
4937,2BR0193,3,600,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,25,Car
4938,2BR0193,3,600,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,37,Taxi/Private hire car
4939,2BR0219,2,701,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,25,Pedal cycle
4940,2BR0258,1,759,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,61,Taxi/Private hire car
4941,2BR0342,1,830,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,29,Car
4942,2BR0360,2,915,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,19,Car
4943,2BR0722,1,1300,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,69,Car
4944,2BR0953,2,1455,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,52,Car
4945,2BR0965,2,1505,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,63,Car
4946,2BR1717,2,2222,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Female,22,Car
4947,2BR1717,2,2222,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Female,20,Car
4948,2BR1877,1,2355,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Serious,Male,22,Taxi/Private hire car
4949,2BS0653,2,1120,B,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,71,Car
4950,2BS0858,1,1345,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Serious,Male,26,Motorcycle over 50cc and up to 125cc
4951,2BS0976,5,1509,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,20,Car
4952,2BS0979,4,1510,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,49,Car
4953,2BS0979,4,1510,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,25,Car
4954,2BS0979,4,1510,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,3,Car
4955,2BS0979,4,1510,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,30,Car
4956,2BS1043,2,1340,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,25,Car
4957,2BS1043,2,1340,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,51,Car
4958,2BS1064,1,1630,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Female,23,Car
4959,2BS1124,2,1650,B,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Male,30,Car
4960,2BS1390,1,1915,Unclassified,Dry,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Female,15,Taxi/Private hire car
4961,2BT0323,2,415,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Passenger,Slight,Female,25,Taxi/Private hire car
4962,2BT0625,2,1125,Unclassified,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver/Rider,Slight,Female,50,Car
4963,2BT0731,2,1243,Unclassified,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver/Rider,Slight,Male,35,Goods vehicle 3.5 tonnes mgw and under
4964,2BT0731,2,1243,Unclassified,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver/Rider,Slight,Male,32,Car
4965,2BT0848,2,1335,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,35,Car
4966,2BT0848,2,1335,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,34,Car
4967,2BT0848,2,1335,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,60,Car
4968,2BT0933,2,1408,Unclassified,Wet / Damp,Daylight: street lights present,Raining with high winds,Passenger,Slight,Female,10,Car
4969,2BU0184,2,655,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Male,33,Motorcycle over 500cc
4970,2BU0201,2,720,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Serious,Male,43,Motorcycle over 50cc and up to 125cc
4971,2BU0217,1,750,B,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,14,Motorcycle over 500cc
4972,2BU0358,2,905,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,15,Pedal cycle
4973,2BU0477,1,1115,Motorway,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,66,Car
4974,2BU0482,1,1119,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Female,19,Car
4975,2BU1099,1,1610,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,1,Bus or coach (17 or more passenger seats)
4976,2BU1105,2,1719,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,22,Car
4977,2BU1305,2,1305,Motorway,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,31,Car
4978,2BU1340,2,1949,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,42,Taxi/Private hire car
4979,2BU1340,2,1949,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,20,Taxi/Private hire car
4980,2C10186,2,715,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Male,17,Car
4981,2C10189,1,655,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,25,Car
4982,2C10469,3,1130,A,Wet / Damp,Daylight: street lights present,Fine with high winds,Driver/Rider,Serious,Male,26,Car
4983,2C10469,3,1130,A,Wet / Damp,Daylight: street lights present,Fine with high winds,Driver/Rider,Slight,Female,81,Car
4984,2C10681,2,1332,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Female,38,Car
4985,2C10746,2,1400,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,24,Goods vehicle 3.5 tonnes mgw and under
4986,2C10746,2,1400,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,43,Car
4987,2C11317,2,1640,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,16,Bus or coach (17 or more passenger seats)
4988,2C11317,2,1640,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,25,Bus or coach (17 or more passenger seats)
4989,2C11317,2,1640,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,22,Bus or coach (17 or more passenger seats)
4990,2C11484,4,2020,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,22,Car
4991,2C11522,2,1512,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,32,Car
4992,2C20084,2,130,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,23,Taxi/Private hire car
4993,2C20227,2,710,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,26,Pedal cycle
4994,2C21000,1,1530,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,11,Car
4995,2C21914,1,2331,A,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,18,Car
4996,2C30219,2,750,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,57,Motorcycle over 125cc and up to 500cc
4997,2C30590,1,1115,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,87,Bus or coach (17 or more passenger seats)
4998,2C30765,2,735,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,23,Car
4999,2C31250,2,1811,Motorway,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Female,25,Car
5000,2C31320,2,1846,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Male,23,Car
5001,2C31320,2,1846,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Male,30,Car
5002,2C31335,4,1854,Motorway,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Male,48,Car
5003,2C31335,4,1854,Motorway,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Male,29,Car
5004,2C31335,4,1854,Motorway,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Female,26,Car
5005,2C31377,3,1900,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,23,Car
5006,2C40221,2,730,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,75,Car
5007,2C40221,2,730,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,75,Car
5008,2C40221,2,730,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,55,Car
5009,2C40377,1,940,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,59,Car
5010,2C40837,2,1430,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,30,Car
5011,2C40837,2,1430,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,1,Car
5012,2C40998,1,1550,B,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,14,Car
5013,2C41132,1,1851,Unclassified,Dry,Darkness: street lights present and lit,Fine with high winds,Pedestrian,Slight,Male,62,Bus or coach (17 or more passenger seats)
5014,2C41528,2,2057,A,Dry,Darkness: street lights present and lit,Fine with high winds,Driver/Rider,Slight,Male,23,Pedal cycle
5015,2C41715,2,2257,Unclassified,Dry,Darkness: street lights present and lit,Fine with high winds,Passenger,Serious,Male,20,Motorcycle over 50cc and up to 125cc
5016,2C41715,2,2257,Unclassified,Dry,Darkness: street lights present and lit,Fine with high winds,Driver/Rider,Serious,Male,19,Motorcycle over 50cc and up to 125cc
5017,2C50683,2,1150,A,Wet / Damp,Daylight: street lights present,Fine with high winds,Driver/Rider,Slight,Female,30,Car
5018,2C50683,2,1150,A,Wet / Damp,Daylight: street lights present,Fine with high winds,Passenger,Slight,Female,40,Car
5019,2C50683,2,1150,A,Wet / Damp,Daylight: street lights present,Fine with high winds,Driver/Rider,Slight,Female,30,Car
5020,2C50690,2,1200,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,22,Car
5021,2C50690,2,1200,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,26,Car
5022,2C51096,2,1545,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,25,Car
5023,2C51261,1,1747,A,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Driver/Rider,Slight,Male,20,Car
5024,2C51261,1,1747,A,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Passenger,Slight,Male,18,Car
5025,2C51300,2,1815,A,Dry,Darkness: street lights present and lit,Fine with high winds,Driver/Rider,Slight,Female,23,Pedal cycle
5026,2C60906,1,1510,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,14,Taxi/Private hire car
5027,2C61101,1,1710,A,Dry,Darkness: no street lighting,Fine with high winds,Driver/Rider,Slight,Female,27,Car
5028,2C61285,2,1915,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,63,Car
5029,2C70305,1,854,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,9,Car
5030,2C71035,2,1600,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,16,Car
5031,2C71294,2,1814,A,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Female,90,Car
5032,2C71319,2,1820,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,27,Pedal cycle
5033,2C71717,3,2140,Motorway,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,46,Car
5034,2C71780,2,2225,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Serious,Male,18,Car
5035,2C71780,2,2225,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,18,Car
5036,2C71780,2,2225,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,18,Car
5037,2C80140,2,425,B,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Male,36,Car
5038,2C80224,1,740,A,Dry,Darkness: street lights present and lit,Unknown,Pedestrian,Slight,Male,13,Car
5039,2C80693,1,1330,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,64,Bus or coach (17 or more passenger seats)
5040,2C80757,2,1407,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,28,Pedal cycle
5041,2C80917,1,1530,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,37,Car
5042,2C80921,2,1535,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,35,Car
5043,2C81064,2,1650,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,2,Car
5044,2C81064,2,1650,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Female,36,Car
5045,2C81114,4,1719,Motorway,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,11,Car
5046,2C90884,1,1525,Unclassified,Dry,Daylight: street lights present,Fine with high winds,Pedestrian,Serious,Male,14,Car
