Reference Number,Number of Vehicles,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
100,31F1081,1,1650,Unclassified,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,17,M/cycle 50cc and under
101,31F1111,2,1700,B,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Female,31,Car
102,31F1272,2,1837,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,37,Car
103,31F1687,2,2216,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Vehicle or pillion passenger,Serious,Female,26,Car
104,31F1687,2,2216,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Vehicle or pillion passenger,Slight,Male,7,Car
105,31F1687,2,2216,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Vehicle or pillion passenger,Slight,Male,7,Car
106,31G0345,1,850,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,23,Car
107,31G0363,2,850,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,28,Car
108,31G0477,2,1100,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,84,Mobility Scooter
109,31G0824,2,1415,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,47,Car
110,31G0824,2,1415,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,41,Car
111,31G1257,2,1257,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,53,Car
112,31G1285,1,1600,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Serious,Male,11,Bus or coach (17 or more passenger seats)
113,31G1463,1,1939,Unclassified,Snow,Darkness: street lights present and lit,Snowing without high winds,Driver or rider,Slight,Male,19,M/cycle 50cc and under
114,31I0172,2,620,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,26,Pedal cycle
115,31I1016,2,1557,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,48,Car
116,31I1110,2,1649,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Serious,Female,58,Car
117,31I1123,2,1652,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Serious,Female,40,Pedal cycle
118,31I1222,2,1740,Unclassified,Wet / Damp,Darkness: street lights present and lit,Other,Driver or rider,Slight,Male,49,Pedal cycle
119,31I1266,2,1620,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,26,Car
120,31I1266,2,1620,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Female,14,Car
121,31J0507,2,830,Unclassified,Wet / Damp,Daylight: street lights present,Unknown,Pedestrian,Slight,Male,17,Car
122,31J0604,1,1226,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,42,Car
123,31J1102,1,1656,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,12,Car
124,31J1219,2,1805,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,27,Car
125,31J1219,2,1805,A,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,31,Car
126,31J1219,2,1805,A,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,29,Car
127,31J1219,2,1805,A,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,28,Car
128,31K1170,2,1740,Unclassified,Dry,Darkness: street lights present and lit,Unknown,Driver or rider,Slight,Female,40,Pedal cycle
129,31K1255,2,805,B,Dry,Daylight: street lights present,Unknown,Driver or rider,Slight,Male,32,Pedal cycle
130,31K1386,2,1935,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver or rider,Fatal,Male,73,Car
131,31K1386,2,1935,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver or rider,Slight,Male,47,Car
132,31K1457,2,2015,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,33,Car
133,31K1516,1,750,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Female,15,Car
134,31K1591,1,2130,Unclassified,Wet / Damp,Darkness: street lights present and lit,Other,Driver or rider,Slight,Male,25,Car
